ITEM_20150317_000134	比較起來愛用這把劍的劍士地位比較高。
ITEM_20150317_000135	波斯劍
ITEM_20150317_000136	和乍看之下不同，這是把兩刃劍，是追求實戰的劍士愛用的劍。
ITEM_20150317_000137	輕巧雙手斬劍
ITEM_20150317_000138	利用劍尾的設計，可以對敵人進行刺擊的動作。
ITEM_20150317_000139	劣質巨劍
ITEM_20150317_000140	霸刀
ITEM_20150317_000141	聽說偉大的露克立斯在初期也很愛用這把刀。
ITEM_20150317_000142	練習用混種劍
ITEM_20150317_000143	混種劍
ITEM_20150317_000144	沉重水波紋劍
ITEM_20150317_000145	沉重野太刀
ITEM_20150317_000146	沉重雙手斬劍
ITEM_20150317_000147	鄧凱爾野太刀
ITEM_20150317_000148	鄧凱爾波斯劍
ITEM_20150317_000149	鄧凱爾水波紋劍
ITEM_20150317_000150	鄧凱爾雙手斬劍
ITEM_20150317_000151	名家劍
ITEM_20150317_000152	德式鬥劍
ITEM_20150317_000153	禮服佩劍
ITEM_20150317_000154	日爾曼雙手大劍
ITEM_20150317_000155	死刑之劍
ITEM_20150317_000156	盧邁雙手劍
ITEM_20150317_000157	奧弗匕首
ITEM_20150317_000158	潛能之劍
ITEM_20150317_000159	如果無法滿足於平凡的水波紋劍，那麼這把劍就是您更好的選擇。
ITEM_20150317_000160	坦索斯水波紋劍
ITEM_20150317_000161	同時讓你的潛在力大大提升的武器，喜歡可以試試看它的性能。
ITEM_20150317_000162	迪德爾巨劍
ITEM_20150317_000163	如果想要更重、更強、更廣地進行攻擊，這把劍會有幫助的。
ITEM_20150317_000164	寇雷圖勒劍
ITEM_20150317_000165	雖然在植物災難之後常用於實戰，但是在那之前這把劍裝飾和收藏用的性格很濃厚。
ITEM_20150317_000166	霍克瑪名家劍
ITEM_20150317_000167	霍克瑪們從哪裡取得這種劍或是怎麼製造的並不重要，我們可以製造並使用這才是重點。
ITEM_20150317_000168	凱米尼斯混種劍
ITEM_20150317_000169	溫特史普恩家門遇到史上第一次植物災難，將這把劍的製造法公開給所有鍊金術士。
ITEM_20150317_000170	普利瑪魯傑劍
ITEM_20150317_000171	很多劍士會選擇這把有威力的魔法劍當作是自己的第一把劍。
ITEM_20150317_000172	高加索短劍
ITEM_20150317_000173	喜歡養劍的劍士們會自己製造此劍並使用它。
ITEM_20150317_000174	印帕勒尼雙手劍
ITEM_20150317_000175	如果從黑市交易獲得此劍，在某種程度上可以相信是真品。
ITEM_20150317_000176	暮色雙手劍
ITEM_20150317_000177	研制此劍的匠人和普利瑪魯傑劍是同一人。
ITEM_20150317_000178	拉比斯德式鬥劍
ITEM_20150317_000179	強化德式鬥劍的方法被發現至今還不到到100年，因此此劍的製造法和露克立斯無關。
ITEM_20150317_000180	史密斯雙手劍
ITEM_20150317_000181	神樹之日後漸漸養成比較少考慮魔法武器的安全性這樣的風氣。
ITEM_20150317_000182	葛拉比斯雙手劍
ITEM_20150317_000183	可以擴充你的雙手變得更可靠的。
ITEM_20150317_000184	特雷希雙手劍
ITEM_20150317_000185	塞茲塔斯雙手劍
ITEM_20150317_000186	德拉特雙手劍
ITEM_20150317_000187	亞斯頓雙手劍
ITEM_20150317_000188	戴維雙手劍
ITEM_20150317_000189	初始雙手劍
ITEM_20150317_000190	弗拉米尼劍
ITEM_20150317_000191	這把好劍從以前開始就被認為是對付魔族的勇士所必備的武器。
ITEM_20150317_000192	法師殺戮劍
ITEM_20150317_000193	一般的魔法師對此劍並不關心，反而是有很多戰鬥經驗的魔法師會注意到這把劍。
ITEM_20150317_000194	雙手劍[打擊]
ITEM_20150317_000195	如猛然出現在黑夜裡的一把劍，那柯堤斯追加意外的打擊。
ITEM_20150317_000196	魯西杜斯劍
ITEM_20150317_000197	有些人看不起砍樹的斧頭，使用這把劍的人說如果沒有這把劍，那麼植物災難將會帶來更嚴重的傷害。
ITEM_20150317_000198	天堂地獄劍
ITEM_20150317_000199	有句話說攻擊就是最好的防禦，你可以用這把劍證明這句話。
ITEM_20150317_000200	死亡魔女利牙
ITEM_20150317_000201	並非利用真正的死亡魔女身體去製作的。
ITEM_20150317_000202	死靈查普利雙手劍
ITEM_20150317_000203	來自於無實體的東西往往會提供巨大力量，來自於無體積的東西往往會壓制巨大空間。
ITEM_20150317_000204	努爾利斯劍
ITEM_20150317_000205	不論是屬於黑夜還是白天的存在，都可以展現其強悍威力的武器。
ITEM_20150317_000206	重力劍
ITEM_20150317_000207	不論你是誰身處哪裡都很難避開重力，可是當你適應了重力，那個效力是誰也無法忽視的。
ITEM_20150317_000208	劣質短型權杖
ITEM_20150317_000209	權杖[打擊]
ITEM_20150317_000210	學習魔法者無論如何都想要獲得的裝備。
ITEM_20150317_000211	短型權杖
ITEM_20150317_000212	魔法師們如果脫離入門期，會換成此裝備。
ITEM_20150317_000213	低階長型權杖
ITEM_20150317_000214	魔法師裝備上添加的裝鈽只是單純的裝飾品而已。
ITEM_20150317_000215	低階凱恩手杖
ITEM_20150317_000216	高明的魔法師精心製作的手杖，不用說一定蘊藏著神秘的力量。
ITEM_20150317_000217	手杖
ITEM_20150317_000218	聽說不是親自製作的手杖只要加入裝飾就可以跟自己搭配了。
ITEM_20150317_000219	鉤杖
ITEM_20150317_000220	傳說這個武器一開始是一群心性不正的魔法師們所使用的。
ITEM_20150317_000221	普特權杖
ITEM_20150317_000222	這個武器曾經在年輕魔法師中很有名。
ITEM_20150317_000223	貓頭鷹權杖
ITEM_20150317_000224	武器上裝飾著資深魔法師們喜愛的飾品。
ITEM_20150317_000225	符文權杖
ITEM_20150317_000226	為了強化權杖的威力，使用了魔法符文。
ITEM_20150317_000227	水晶權杖
ITEM_20150317_000228	蘊藏魔力的寶石和權杖之間的完美結合。
ITEM_20150317_000229	劣質普特權杖
ITEM_20150317_000230	劣質貓頭鷹權杖
ITEM_20150317_000231	士兵的短型權杖
ITEM_20150317_000232	已經是魔法師的人如果加入軍隊就會發給的裝備，植物災難後，就算不用申請程序，數量還是剩很多。
ITEM_20150317_000233	村長的長型權杖
ITEM_20150317_000234	以前很流行此型態的武器，雖然外形很舊式，但是性能還不賴。
ITEM_20150317_000235	劣質凱恩手杖
ITEM_20150317_000236	戰鬥權杖
ITEM_20150317_000237	除在可以當作魔法的輔助道具之外，也可以用在其它戰鬥上的裝備。
ITEM_20150317_000238	沉重短型權杖
ITEM_20150317_000239	長型權杖
ITEM_20150317_000240	沉重長型權杖
ITEM_20150317_000241	凱恩手杖
ITEM_20150317_000242	沉重手杖
ITEM_20150317_000243	沉重鉤杖
ITEM_20150317_000244	沉重普特權杖
ITEM_20150317_000245	鄧凱爾鉤杖
ITEM_20150317_000246	鄧凱爾水晶權杖
ITEM_20150317_000247	鄧凱爾長型權杖
ITEM_20150317_000248	鄧凱爾凱恩手杖
ITEM_20150317_000249	鄧凱爾手杖
ITEM_20150317_000250	鄧凱爾普特權杖
ITEM_20150317_000251	蛇形權杖
ITEM_20150317_000252	奧爾特權杖
ITEM_20150317_000253	納爾特權杖
ITEM_20150317_000254	埃爾德權杖
ITEM_20150317_000255	流星權杖
ITEM_20150317_000256	環形權杖
ITEM_20150317_000257	奴隸權杖
ITEM_20150317_000258	潘圖魔杖
ITEM_20150317_000259	魔法師們在植物災難之後，從出沒的怪物身上發現一些新的事實，並加以利用。
ITEM_20150317_000260	冰凍權杖
ITEM_20150317_000261	傳聞說每當賣出一把權杖，就要付錢給寒冰法師大師。
ITEM_20150317_000262	火焰權杖
ITEM_20150317_000263	知道讓這裡的所有權杖充滿加比婭女神力量的方法的人只有烈焰法師大師。
ITEM_20150317_000264	瓦夏權杖
ITEM_20150317_000265	魔法師們在製造過程中操縱靈魂一事，祭司們覺得不太妥當，但是魔法師們卻覺得無所謂。
ITEM_20150317_000266	魔法權杖
ITEM_20150317_000267	連新手魔法師都會製作的魔法強化權杖。
ITEM_20150317_000268	克里那斯權杖
ITEM_20150317_000269	植物災難之後，因為魔族人數增多的關係，權杖的需求也變大，本來價格就很高的武器，價格變得更高。
ITEM_20150317_000270	凱米尼斯權杖
ITEM_20150317_000271	和同名的其它裝備不同，此武器和溫特史普恩家門沒有直接關聯。
ITEM_20150317_000272	亞克權杖
ITEM_20150317_000273	要達到更高境界的魔法師，常使用此裝備，當作是墊腳石。如果要實現以提升智力為目標的話，也常使用其它裝備。
ITEM_20150317_000274	印帕勒尼權杖
ITEM_20150317_000275	追求個性的魔法師們愛用的裝備。
ITEM_20150317_000276	阿拉斯的長型權杖
ITEM_20150317_000277	因為價格適中，所以魔法師們常會買來當禮物送人。
ITEM_20150317_000278	史密斯權杖
ITEM_20150317_000279	此裝備出乎意料的並不會受到使用者的影響。
ITEM_20150317_000280	葛拉比斯權杖
ITEM_20150317_000281	希望你成為史上首位使用此武器的人物。
ITEM_20150317_000282	迪奧權杖
ITEM_20150317_000283	特雷希權杖
ITEM_20150317_000284	塞茲塔斯權杖
ITEM_20150317_000285	德拉特權杖
ITEM_20150317_000286	亞斯頓權杖
ITEM_20150317_000287	戴維權杖
ITEM_20150317_000288	初始權杖
ITEM_20150317_000289	黛梅雷權杖
ITEM_20150317_000290	此武器的外號是忍耐權杖，根據傳說是歷史上最棒的魔法師亞佳伊拉弗羅里為了指導學生而研制的。
ITEM_20150317_000291	燃燒權杖
ITEM_20150317_000292	烈焰法師大師努力緩和此武器相沖的部份，但是至今還沒有進展。
ITEM_20150317_000293	賽克雷頓權杖
ITEM_20150317_000294	為了魔法師準備的只有魔法師能使用的裝備，因此魔法師們都會忽視此武器的缺點。
ITEM_20150317_000295	死亡魔女權杖
ITEM_20150317_000296	蘊藏死亡魔女力量的權杖。
ITEM_20150317_000297	死靈查普利權杖
ITEM_20150317_000298	札伊瑪權杖
ITEM_20150317_000299	此權杖的製作書價格很貴的原因是因為寒冰法師大師要強力要求。
ITEM_20150317_000300	艾帕斯權杖
ITEM_20150317_000301	很久以前，動員了當時最棒的魔法學製作而成的權杖，因此以現今的技術也無法在此武器上做什麼加工。
ITEM_20150317_000302	閃耀權杖
ITEM_20150317_000303	無論何時總是可以見到閃耀的星星。
ITEM_20150317_000304	無_weapon_THBow
ITEM_20150317_000305	劣質輕巧弓
ITEM_20150317_000306	弓[刺擊]
ITEM_20150317_000307	在家裡也可以製作的簡易弓。
ITEM_20150317_000308	輕巧弓
ITEM_20150317_000309	在貴族領及各種地方許多人製造並使用它。
ITEM_20150317_000310	低階短弓
ITEM_20150317_000311	雖然是入門用，但是也有熟悉之後還一直使用的弓手。
ITEM_20150317_000312	低階長弓
ITEM_20150317_000313	短的距離可以分開生死，但如果想要更長的射程距離的話，那麼長弓就是你最好的選擇。
ITEM_20150317_000314	合成弓
ITEM_20150317_000315	運用許多材料來強化弓的彈性。
ITEM_20150317_000316	單弓
ITEM_20150317_000317	此弓代表下定決心進行痛苦修練的弓手態度。
ITEM_20150317_000318	洛卡斯弓
ITEM_20150317_000319	此弓是以初次研制者的出身地來命名的。
ITEM_20150317_000320	古里托斯弓
ITEM_20150317_000321	弓騎兵們愛用的弓。
ITEM_20150317_000322	窟拉伊爾弓
ITEM_20150317_000323	在弓製造上初次使用魔法的案例，歷史上有記錄的弓，而且在那之後一直都有在製作這種弓。
ITEM_20150317_000324	卡曼弓
ITEM_20150317_000325	對體力有信心的弓手們會喜歡這種強力的改造弓。
ITEM_20150317_000326	劣質洛卡斯弓
ITEM_20150317_000327	劣質古里托斯弓
ITEM_20150317_000328	士兵的輕巧弓
ITEM_20150317_000329	為配合正規軍最低規格而製作的弓。
ITEM_20150317_000330	村長的短弓
ITEM_20150317_000331	可以看出每天綁繩子、解繩子等辛苦的痕跡，和弓齡相比算是管理不錯的弓。
ITEM_20150317_000332	劣質長弓
ITEM_20150317_000333	肯達瓦弓
ITEM_20150317_000334	是沒有使用魔法製作的弓當中等級最高的弓。
ITEM_20150317_000335	沉重輕巧弓
ITEM_20150317_000336	短弓
ITEM_20150317_000337	沉重短弓
ITEM_20150317_000338	長弓
ITEM_20150317_000339	沉重合成弓
ITEM_20150317_000340	沉重單弓
ITEM_20150317_000341	沉重洛卡斯弓
ITEM_20150317_000342	鄧凱爾單弓
ITEM_20150317_000343	鄧凱爾卡曼弓
ITEM_20150317_000344	鄧凱爾短弓
ITEM_20150317_000345	鄧凱爾長弓
ITEM_20150317_000346	鄧凱爾合成弓
ITEM_20150317_000347	鄧凱爾洛卡斯弓
ITEM_20150317_000348	反曲弓
ITEM_20150317_000349	掠奪弓
ITEM_20150317_000350	狙擊弓
ITEM_20150317_000351	骷髏弓
ITEM_20150317_000352	木頭組合弓
ITEM_20150317_000353	標記弓
ITEM_20150317_000354	原木弓
ITEM_20150317_000355	探索者弓
ITEM_20150317_000356	從以前開始這把弓就是獵人愛用的弓，植物災難後用途變多。
ITEM_20150317_000357	鐵弓
ITEM_20150317_000358	瞄準力非常的優秀，經常會帶給敵人意料之外傷害的弓。
ITEM_20150317_000359	鷹弓
ITEM_20150317_000360	用任意骨頭製成的單弓偶爾會發生和金屬沒有相乘作用的情況。
ITEM_20150317_000361	凱米尼斯弓
ITEM_20150317_000362	因為敏捷性會變好的特性所以取了這個名字。
ITEM_20150317_000363	狩獵弓
ITEM_20150317_000364	弓系統的鍊金術運用本來只是理論，但因為最近的需求，所以製造了很多。
ITEM_20150317_000365	創造者弓
ITEM_20150317_000366	以前有錢的獵人們購買的，現在狀況變得更嚴重，只要有錢誰都可以買或是製造。
ITEM_20150317_000367	野性之弓
ITEM_20150317_000368	植物災難之後，高級弓的需求增多，此弓被大量製造。
ITEM_20150317_000369	蛇形弓
ITEM_20150317_000370	不論力量強或弱，此弓都會是最好的選擇，如果擁有了還覺得不夠強，只要補充就可以了。
ITEM_20150317_000371	印帕勒尼弓
ITEM_20150317_000372	弓如其名可以帶著毒氣進行攻擊。
ITEM_20150317_000373	雷特娜之弓
ITEM_20150317_000374	使用有重量感的弓獵殺重量級怪物時，可以感受到的一種快感。
ITEM_20150317_000375	強弓
ITEM_20150317_000376	雖然製造過程很繁複，但算是挺有價值的武器。
ITEM_20150317_000377	阿拉斯的短弓
ITEM_20150317_000378	第一次獲得魔法弓的人主要都是買這個武器。
ITEM_20150317_000379	普利弓
ITEM_20150317_000380	史密斯弓
ITEM_20150317_000381	如果你沒有其它弓，那就試運氣，購買它吧！
ITEM_20150317_000382	葛拉比斯弓
ITEM_20150317_000383	以魔法弓來說它有點平凡，但是也許某個使用者可以超乎尋常地使用它。
ITEM_20150317_000384	迪奧弓
ITEM_20150317_000385	特雷希弓
ITEM_20150317_000386	塞茲塔斯弓
ITEM_20150317_000387	德拉特弓
ITEM_20150317_000388	亞斯頓弓
ITEM_20150317_000389	戴維弓
ITEM_20150317_000390	初始弓
ITEM_20150317_000391	狂野汎弓
ITEM_20150317_000392	也許你會覺得聽起來很怪，但是植物災難之前獵人們不太此用此弓，因為如果獵捕到禽獸，獵物受損程度會過於嚴重。
ITEM_20150317_000393	平衡弓
ITEM_20150317_000394	有些弓手自尊心較高，除了自身的實力之外，不希望產生任何變數，這把弓很適合他們。
ITEM_20150317_000395	心之探索者弓
ITEM_20150317_000396	施展在此弓上的咒語，不知什麼原因變成會對雙方發生作用的詛咒，但即便如此，弓手們還是會因為此弓的優點而選擇它。
ITEM_20150317_000397	毒蛇弓
ITEM_20150317_000398	因為使用劇毒，使用者也必須接受傷害的弓。
ITEM_20150317_000399	死亡魔女弓
ITEM_20150317_000400	希望此弓可以為你的敵人帶來死亡。
ITEM_20150317_000401	死靈查普利弓
ITEM_20150317_000402	記載著這樣的話，挺直腰桿，肩膀放鬆，拉弓推箭似的射出吧！
ITEM_20150317_000403	鮮血增益弓
ITEM_20150317_000404	這把弓是利迪亞夏班創造的，利迪亞夏班生前很愛用這把弓，可是聽說他並沒有將此弓的製作法傳給他所創設的星之塔和夏班史達。
ITEM_20150317_000405	暴風射手弓
ITEM_20150317_000406	這是最近弓手們聚在一起研製而成的新弓，蘊藏著希望能夠順利應付植物災難的心願。
ITEM_20150317_000407	無_weapon_Bow
ITEM_20150317_000408	低階輕巧十字弓
ITEM_20150317_000409	弩弓[刺擊]
ITEM_20150317_000410	比攻擊力重要的是，當你的另一隻手想要自由的時候，選擇它就對了。
ITEM_20150317_000411	低階十字弓
ITEM_20150317_000412	最近弩弓被製作成各種材料，怪物副產物的比重很高。
ITEM_20150317_000413	鬥庫十字弓
ITEM_20150317_000414	重新裝填有一點方便的武器。
ITEM_20150317_000415	方鏃箭弓
ITEM_20150317_000416	弩箭手大師會使用這個指導新手們。
ITEM_20150317_000417	奧克十字弓
ITEM_20150317_000418	植物災難之後，要取得木材變得困難，但是製作並不困難。
ITEM_20150317_000419	封印十字弓
ITEM_20150317_000420	有時怪物的骨頭會發現有詛咒，所以貼上封印。
ITEM_20150317_000421	石弩
ITEM_20150317_000422	歷史上個人研究活用攻城兵器的方法已經很久了，而成果就是研製了這個武器。
ITEM_20150317_000423	齒輪弩
ITEM_20150317_000424	因為獲得裝置的幫助，所以新手使用時可以獲得幫助，熟練者可以增加其威力。
ITEM_20150317_000425	劣質奧克十字弓
ITEM_20150317_000426	劣質封印十字弓
ITEM_20150317_000427	狙擊十字弓
ITEM_20150317_000428	雖然暗殺者艾保尼風常使用惡名昭彰，但此弓是個優點很多的武器。
ITEM_20150317_000429	輕巧十字弓
ITEM_20150317_000430	沉重輕巧十字弓
ITEM_20150317_000431	十字弓
ITEM_20150317_000432	沉重鬥庫十字弓
ITEM_20150317_000433	沉重方鏃箭弓
ITEM_20150317_000434	沉重奧克十字弓
ITEM_20150317_000435	鄧凱爾方鏃箭弓
ITEM_20150317_000436	鄧凱爾齒輪弩
ITEM_20150317_000437	鄧凱爾十字弓
ITEM_20150317_000438	鄧凱爾鬥庫十字弓
ITEM_20150317_000439	鄧凱爾奧克十字弓
ITEM_20150317_000440	勁弩
ITEM_20150317_000441	佩迪米安砲塔
ITEM_20150317_000442	彈藥射手
ITEM_20150317_000443	黑尖弓
ITEM_20150317_000444	尖錐十字弓
ITEM_20150317_000445	滑輪弩
ITEM_20150317_000446	沉重十字弓
ITEM_20150317_000447	有一點重但是弓本身施予的魔法會令這種感覺減少。
ITEM_20150317_000448	懷特十字弓
ITEM_20150317_000449	如果瞄準準確，會造成致命傷害的好弩弓。
ITEM_20150317_000450	格蘭德十字弓
ITEM_20150317_000451	沒什麼缺點，性能很好的弓，在弓手之間很有人氣。
ITEM_20150317_000452	凱米尼斯十字弓
ITEM_20150317_000453	以鍊金術為基礎製造的武器，在植物災難之後，需求變多了。
ITEM_20150317_000454	梅迪納十字弓
ITEM_20150317_000455	搭配裝備附加對付敵人的特殊目的而製作的。
ITEM_20150317_000456	女王十字弓
ITEM_20150317_000457	雖然不能稱做是弩弓帝王，但這把弓具有連女王都認同的性能。
ITEM_20150317_000458	追逐者弩
ITEM_20150317_000459	在風向或是視野等不是很好的地方活動的弓手們使用的弓。
ITEM_20150317_000460	印帕勒尼十字弓
ITEM_20150317_000461	黑市裝備得花很多維持費用，聽說是故意這樣設計的。
ITEM_20150317_000462	古墓十字弓
ITEM_20150317_000463	如果想要對方永遠沉睡的話，推薦使用這把弩弓。
ITEM_20150317_000464	史密斯十字弓
ITEM_20150317_000465	每次拉弓時，必須許下這次攻擊會造成敵人多少傷害的願望，這樣願望才會實現。
ITEM_20150317_000466	葛拉比斯十字弓
ITEM_20150317_000467	希望你成為展現此武器真正價值的第一人。
ITEM_20150317_000468	特雷希十字弓
ITEM_20150317_000469	塞茲塔斯十字弓
ITEM_20150317_000470	德拉特十字弓
ITEM_20150317_000471	亞斯頓十字弓
ITEM_20150317_000472	戴維十字弓
ITEM_20150317_000473	初始十字弓
ITEM_20150317_000474	射擊之星
ITEM_20150317_000475	以前只有完成星之塔修練過程的弓手才可以使用的裝備。
ITEM_20150317_000476	卡汀槍十字弓
ITEM_20150317_000477	植物災難之後，遊俠大師研究卡汀森林的怪物，研製了對他們有效的武器，但是有不准任何人使用的勸告。
ITEM_20150317_000478	格拉宙斯弓
ITEM_20150317_000479	用單手弩弓也可以獵殺大型怪物嗎？你可在此找到答案。
ITEM_20150317_000480	死亡魔女十字弓
ITEM_20150317_000481	這不是死亡魔女用過的武器，原主人是某個可憐的犧牲者。
ITEM_20150317_000482	死靈查普利射手弓
